"名称","ふりがな","所在地","電話番号","FAX","URL","備考","大分類__","中分類__","小分類__","経度","緯度"
"吉祥寺駅(京王井の頭線)","","東京都武蔵野市吉祥寺南町2-1-31","","","","京王井の頭線","その他","駅","駅","139.58017613","35.70247739"
"武蔵境駅(西武多摩川線)","","東京都武蔵野市境南町2-1-12<br>","","","","西武多摩川線","その他","駅","駅","139.54407089","35.70190772"
"明星学園小学校　中学校","","東京都三鷹市井の頭5-7-7","0422-43-2197","","","","保育・教育施設","私立小・中・高校・大学など","中学校","139.57720681","35.69518447"
"天文台歴史館（国立天文台赤道儀室）","","三鷹市大沢2-21-1<br>","0422-34-3688<br>","","http://www.nao.ac.jp/","","生涯学習・文化施設","文化施設","文化財","139.53672367","35.67428547"
"国立天文台太陽塔望遠鏡（アインシュタイン塔）","","三鷹市大沢2-21-1","0422-34-3688<br><br>","","http://www.nao.ac.jp/","","生涯学習・文化施設","文化施設","文化財","139.53671335","35.67334466"
"国立天文台第一赤道儀室","","三鷹市大沢2-21-1","0422-34-3688","","http://www.nao.ac.jp/","","生涯学習・文化施設","文化施設","文化財","139.53855743","35.67428209"
"けやき橋駐輪場&lt;民営&gt;","","東京都三鷹市上連雀2-21-3","","","","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.55842283","35.70246724"
"中原高架下駐輪場（サイクルアンドバスライド）","","東京都三鷹市中原2-12先","","","http://www.city.mitaka.tokyo.jp/c_service/046/046480.html","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.57029829","35.67084467"
"工房　時","","東京都三鷹市野崎2-6-41","0422-30-5571","0422-30-5572","https://www.mitaka-odekakeguide.jp/institutions/show/547","","福祉・介護施設","障がい者施設","障がい者施設","139.54854398","35.68363021"
"ソレイユ","","東京都三鷹市大沢2-2-18","0422-26-1507","0422-26-1507","","","福祉・介護施設","障がい者施設","障がい者施設","139.53847042","35.68016864"
"三鷹市自転車等保管場所","","東京都三鷹市中原3-3-15","0422-44-0012","","","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.56922806","35.67048331"
"しろがね通り第1駐輪場（定期）","","東京都三鷹市下連雀3-30-2","","","http://www.mitaka.ne.jp/facilities/bicycle_parking/","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.56152676","35.69812959"
"しろがね通り第2駐輪場（一時）","","東京都三鷹市下連雀3-28-9","","","http://www.mitaka.ne.jp/facilities/bicycle_parking/","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.56146667","35.69955361"
"三鷹台第１駐輪場（定期）","","東京都三鷹市井の頭2-1-19","","","http://www.mitaka.ne.jp/facilities/bicycle_parking/","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.58849062","35.69277306"
"三鷹台第２駐輪場（定期）","","東京都三鷹市井の頭2-7-18","","","http://www.mitaka.ne.jp/facilities/bicycle_parking/","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.58780360","35.69161341"
"三鷹台第３駐輪場（定期）","","東京都三鷹市井の頭1-30-17","","","http://www.mitaka.ne.jp/facilities/bicycle_parking/","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.58801773","35.69114289"
"三鷹台第４駐輪場（一時）","","東京都三鷹市井の頭1-29-15","","","http://www.mitaka.ne.jp/facilities/bicycle_parking/","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.58730923","35.69068851"
"三鷹台第５駐輪場（定期）","","東京都三鷹市井の頭1-30-19","","","http://www.mitaka.ne.jp/facilities/bicycle_parking/","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.58829631","35.69172934"
